game,rating,platform,genre,release
A Little Bit of... All Time Classics: Strategy Games,3,Nintendo DSi - DSiWare,Other,2009-11-20
A Little Bit of... Dr Kawashima's Brain Training: Arts Edition,3,Nintendo DSi - DSiWare,Educational,2009-10-23
A Little Bit of... Dr Kawashima's Brain Training: Sudoku,3,Nintendo DSi - DSiWare,Puzzle,2009-07-24
A Little Bit of... Dr Kawashima´s Brain Training - Maths Edition,3,Nintendo DSi - DSiWare,Other,2009-06-19
A Little Bit of... Dr. Mario,3,Nintendo DSi - DSiWare,Puzzle,2009-05-01
A Little Bit of... Magic Made Fun: Deep Psyche,3,Nintendo DSi - DSiWare,Other,2009-05-08
A Little Bit of... Magic Made Fun: Funny Face,3,Nintendo DSi - DSiWare,Other,2009-05-01
A Little Bit of... Magic Made Fun: Matchmaker,3,Nintendo DSi - DSiWare,Other,2009-12-04
A Little Bit of... Magic Made Fun: Mind Probe,3,Nintendo DSi - DSiWare,Other,2009-12-25
A Little Bit of... Magic Made Fun: Psychic Camera,3,Nintendo DSi - DSiWare,Other,2009-12-18
A Little Bit of... Magic Made Fun: Shuffle Games,3,Nintendo DSi - DSiWare,Other,2009-05-15
A Little Bit of... Nintendo Touch Golf,3,Nintendo DSi - DSiWare,Sports,2009-11-13
A Little Bit of... Puzzle League,3,Nintendo DSi - DSiWare,Puzzle,2009-07-17
A Little Bit of… All Time Classics: Card Classics,12,Nintendo DSi - DSiWare,Other,2009-10-30
A New Beginning,12,PC,Adventure,2010-10-08
A Pixel Story,7,PlayStation 4,Action,2016-08-23
